year,exporter,importer,product,value_kusd,quantity_tonnes
1995,Netherlands,807,250410,33.052,40.0
1995,Netherlands,826,250410,12.199,10.513
1995,579,058,250410,14.366,48.0
1995,579,Germany,250410,346.0,1422.812
1995,579,Italy,250410,124.46,312.875
1995,579,Netherlands,250410,4.793,11.0
1995,579,711,250410,18.827,64.0
1995,579,Spain,250410,164.793,299.0
1995,579,Sweden,250410,32.905,68.0
1995,579,826,250410,540.248,1667.312
1995,Peru,068,250410,22.891,45.009
1995,Philippines,Indonesia,250410,3.377,7.0
1995,Poland,Germany,250410,1.0,18.199
1995,Poland,579,250410,2.3,3.0
1995,Poland,826,250410,8.582,24.121
1995,Poland,USA,250410,18.317,35.0
1995,Romania,058,250410,3.0,18.0
1995,Romania,251,250410,0.801,1.125
1995,Romania,Turkey,250410,4.111,3.25
1995,Russia,Germany,250410,1.0,2.125
1995,Russia,Italy,250410,9.729,27.8
1995,Russia,440,250410,13.1,59.296
1995,Saudi Arabia,414,250410,59.145,1020.0
1995,Saudi Arabia,UAE,250410,39.911,115.859
1995,699,Australia,250410,15.528,27.741
1995,699,Bangladesh,250410,1.366,16.508
1995,699,251,250410,435.571,182.0
1995,699,Germany,250410,26.009,36.565
1995,699,Japan,250410,38.058,18.636
1995,699,400,250410,39.436,60.0
1995,699,524,250410,0.646,10.0
1995,699,Netherlands,250410,3.025,0.996
1995,699,Saudi Arabia,250410,39.094,13.187
1995,699,Thailand,250410,9.776,6.474
1995,699,UAE,250410,12.675,24.48
1995,699,826,250410,643.117,563.581
1995,699,USA,250410,65.232,33.495
1995,702,Bangladesh,250410,4.626,23.0
1995,702,096,250410,0.804,3.0
1995,702,104,250410,5.088,1.0
1995,702,China,250410,5.353,0.222
1995,702,Indonesia,250410,0.822,0.8
1995,702,Malaysia,250410,184.623,114.0
1995,702,UAE,250410,0.582,0.343
1995,702,826,250410,12.191,2.0
1995,703,Hungary,250410,7.0,2.312
1995,705,Croatia,250410,3.838,3.993
1995,711,372,250410,3.236,0.0
1995,711,Japan,250410,46.288,136.0
1995,711,454,250410,0.94,0.0
1995,711,Mexico,250410,64.0,9.187
1995,711,Mozambique,250410,1.654,0.0
1995,711,Netherlands,250410,54.018,0.0
1995,711,826,250410,546.595,921.5
1995,711,USA,250410,197.358,154.949
1995,711,894,250410,1.358,0.101
1995,716,Australia,250410,15.181,6.0
1995,716,Germany,250410,1674.135,6537.0
1995,716,Japan,250410,46.946,144.895
1995,716,711,250410,571.824,8445.892
1995,716,Spain,250410,220.404,455.315
1995,716,Turkey,250410,4.682,40.0
1995,716,826,250410,342.212,228.385
1995,716,USA,250410,354.039,650.978
1995,716,894,250410,11.224,3.405
1995,Spain,Chile,250410,1.019,0.199
1995,Spain,251,250410,44.9,84.101
1995,Spain,Hungary,250410,3.89,1.469
1995,Spain,Italy,250410,0.981,5.5
1995,Spain,Mexico,250410,61.0,60.75
1995,Spain,Morocco,250410,11.067,18.42
1995,Spain,Portugal,250410,0.576,0.199
1995,Spain,Tunisia,250410,44.393,75.441
