year,exporter,importer,product,value_kusd,quantity_tonnes
1996,China,Pakistan,283691,8.0,2.0
1996,China,699,283691,270.453,89.442
1996,China,711,283691,51.52,16.82
1996,China,Spain,283691,117.145,30.943
1996,China,Sweden,283691,126.675,36.52
1996,China,Thailand,283691,4.379,0.398
1996,China,Turkey,283691,17.917,4.085
1996,China,Egypt,283691,42.493,29.295
1996,China,826,283691,963.024,271.547
1996,China,USA,283691,260.2,69.702
1996,China,Uruguay,283691,1.397,0.043
1996,Czech Republic,Mexico,283691,17.5,1.062
1996,Czech Republic,Poland,283691,49.159,9.0
1996,Denmark,450,283691,1.047,0.113
1996,Finland,233,283691,4.336,0.796
1996,Finland,440,283691,16.8,20.0
1996,251,058,283691,74.349,473.977
1996,251,Germany,283691,51.009,409.375
1996,251,344,283691,12.117,14.312
1996,251,434,283691,1.172,0.199
1996,251,540,283691,0.977,1.0
1996,251,Portugal,283691,0.586,1.812
1996,251,Spain,283691,5.669,64.825
1996,251,Turkey,283691,34.85,9.265
1996,251,826,283691,19.361,206.883
1996,Germany,Argentina,283691,131.056,23.696
1996,Germany,Australia,283691,3.561,0.897
1996,Germany,040,283691,266.953,46.682
1996,Germany,058,283691,1146.085,316.027
1996,Germany,Brazil,283691,1.752,0.066
1996,Germany,Bulgaria,283691,4.892,0.338
1996,Germany,Canada,283691,19.759,5.687
1996,Germany,Chile,283691,0.664,0.148
1996,Germany,Colombia,283691,68.342,2.393
1996,Germany,Costa Rica,283691,3.54,0.128
1996,Germany,Croatia,283691,19.623,3.973
1996,Germany,Czech Republic,283691,83.154,20.396
1996,Germany,Denmark,283691,165.958,31.475
1996,Germany,Ecuador,283691,7.167,0.324
1996,Germany,222,283691,1.667,0.054
1996,Germany,233,283691,3.604,0.597
1996,Germany,Finland,283691,230.048,54.197
1996,Germany,251,283691,2367.108,449.149
1996,Germany,300,283691,21.441,0.799
1996,Germany,Guatemala,283691,2.991,0.113
1996,Germany,344,283691,1.328,0.3
1996,Germany,Hungary,283691,12.503,2.123
1996,Germany,Indonesia,283691,82.991,19.326
1996,Germany,Iran,283691,7.309,0.097
1996,Germany,Israel,283691,1032.897,370.875
1996,Germany,Italy,283691,1383.681,390.296
1996,Germany,Japan,283691,420.227,29.553
1996,Germany,South Korea,283691,8.89,1.401
1996,Germany,Malaysia,283691,7.841,5.0
1996,Germany,Netherlands,283691,398.599,92.492
1996,Germany,558,283691,1.209,0.028
1996,Germany,579,283691,6.393,1.308
1996,Germany,Peru,283691,12.841,0.558
1996,Germany,Poland,283691,103.657,18.398
1996,Germany,Portugal,283691,1.125,0.059
1996,Germany,Romania,283691,9.785,1.017
1996,Germany,Russia,283691,149.413,11.433
1996,Germany,699,283691,32.602,5.556
1996,Germany,702,283691,0.664,0.148
1996,Germany,703,283691,58.841,3.404
1996,Germany,705,283691,8.962,0.692
1996,Germany,711,283691,71.843,18.003
1996,Germany,Spain,283691,847.804,234.246
1996,Germany,Sweden,283691,70.347,25.721
1996,Germany,757,283691,94.187,14.041
1996,Germany,Turkey,283691,80.022,18.423
1996,Germany,826,283691,1649.731,423.769
