typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20020101","2002","52","2002","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","234631","false","8","kg","234631","false","234481","false","0","false","4174184","4077366","4174184","0","false","true",
"C","A","20020101","2002","52","2002","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172082","false","8","kg","122102","false","655008","false","0","false",,"8180185","8180185","0","false","true",
"C","A","20020101","2002","52","2002","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2147","false","-1","N/A",,"false","2147","false",,"false","127619",,"127619","0","true","false",
"C","A","20020101","2002","52","2002","112","BLR","Belarus","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","230","false","-1","N/A",,"false","230","false",,"false","13000",,"13000","0","true","false",
"C","A","20020101","2002","52","2002","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1604943","false","-1","N/A",,"false","1604943","false",,"false",,"10531800","10531800","0","true","false",
"C","A","20020101","2002","52","2002","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","95703554","false","-1","N/A",,"false","95703554","false",,"false",,"648724910","648724910","0","true","false",
"C","A","20020101","2002","52","2002","152","CHL","Chile","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","116381","true","-1","N/A",,"false","116381","true",,"false","806002",,"806002","6","true","false",
"C","A","20020101","2002","52","2002","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","614","true","-1","N/A",,"false","614","true",,"false",,"4225","4225","6","true","false",
"C","A","20020101","2002","52","2002","156","CHN","China","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31491705","false","-1","N/A",,"false","31491705","false",,"false","202833203",,"202833203","0","true","false",
"C","A","20020101","2002","52","2002","156","CHN","China","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4466769","false","-1","N/A",,"false","4466769","false",,"false",,"27598230","27598230","0","true","false",
